ligbuilder_molecules;fragment
No_0_424,No_0_425,No_0_426;[Fm]C[NH2+]Cc1cnc(o1)C
No_0_427;[Fm]C[NH2+]Cc1cnc(o1)CC
No_0_431,No_0_432,No_0_433;[Fm]C[NH2+]Cc1cncnc1
No_0_434,No_0_435,No_0_436;[Fm]C[NH2+]Cc1cnco1
No_0_437;[Fm]C[NH2+]Cc1cnn(c1C)C
No_0_439,No_0_440,No_0_441,No_0_442;[Fm]C[NH2+]Cc1cnn(n1)CC
No_0_447,No_0_448,No_0_449,No_0_450,No_0_451,No_0_452;[Fm]C[NH2+]Cc1cocc1
No_0_453,No_0_454,No_0_455,No_0_456,No_0_457;[Fm]C[NH2+]Cc1cocn1
No_0_466,No_0_467,No_0_468;[Fm]C[NH2+]Cc1ncc(o1)C
No_0_469,No_0_470;[Fm]C[NH2+]Cc1ncnn1CC
No_0_471,No_0_472;[Fm]C[NH2+]Cc1nnc([nH]1)C
No_0_477;[Fm]C(OC1C[NH+]=CNC1)=O
No_0_478;[Fm]C(OCCC[NH3+])=O
No_0_479,No_0_480;[Fm]C(OC[NH+](C)C)=O
No_0_490,No_0_491;[Fm]C/[NH+]=C(/N)c1ccncc1
No_0_492;[Fm]C(=O)C1C[NH+](C1)C
No_0_493;[Fm]C(=O)CC1([NH3+])COC1
No_0_494,No_0_495;[Fm]C(=O)CC1=[NH+]CCN1
No_0_496;[Fm]C(=O)CCC1CC[NH2+]CC1
No_0_497;[Fm]C(=O)CCC[NH+](C)C
No_0_498;[Fm]C(=O)CCC(=O)C[NH3+]
No_0_501;[Fm]C(=O)CCOC1C[NH2+]C1
No_0_502;[Fm]C(=O)CC[N+]1=C(N)CCC1
No_0_503,No_0_504;[Fm]C(=O)COCC[NH3+]
No_0_505;[Fm]C(=O)C[NH2+]CCCC
No_0_506,No_0_507;[Fm]C(=O)C[NH2+]CCF
No_0_508;[Fm]C(=O)C[NH+]1CCC(=O)CC1
No_0_509;[Fm]C(=O)C[NH+]1CC(C1)CO
No_0_510;[Fm]C(=O)C[NH+]1CC=CC1
No_0_511,No_0_512;[Fm]C(=O)NC1C[NH2+]C1
No_0_513;[Fm]C(=O)NC1(COC1)C[NH3+]
No_0_514;[Fm]C(=O)NCC1C[NH2+]C1
No_0_515;[Fm]C(=O)NCC1C[NH+](C1)C
No_0_516;[Fm]C(=O)NCC1=CC[NH2+]CC1
No_0_517,No_0_518;[Fm]C(=O)NCC1=[NH+]CCN1
No_0_519;[Fm]C(=O)NCC=1C=NNC1N
No_0_520;[Fm]C(=O)NCC[NH2+]C
No_0_521;[Fm]C(=O)NCC[NH+](C)C
No_0_522,No_0_523;[Fm]C(=O)NCC(N)=[NH2+]
No_0_524,No_0_525;[Fm]C(=O)NC[NH+]1CCOCC1
No_0_526;[Fm]C(=O)NC[NH+](C)C
No_0_528;[Fm]C(=O)NCc1c[nH+]c(N)cc1
No_0_530;[Fm]C(=O)NCc1cc[nH+]c(N)c1
No_0_531,No_0_532;[Fm]C(=O)c1c(C[NH+](C)C)cco1
No_0_533;[Fm]/C(=[NH+]/C1CCCC1)N
No_0_534;[Fm]/C(=[NH+]/CCCC)N
No_0_535,No_0_536;[Fm]/C(=[NH+]/Cc1cn[nH]c1)N
No_0_538,No_0_539;[Fm]c1cc(C[NH3+])co1
No_0_540;[Fm]c1cc(on1)C[NH3+]
No_0_543,No_0_544;[Fm]C(=O)NCC[NH3+]
No_0_545;[Fm]C(=O)C[NH+](C)C
No_0_546,No_0_547,No_0_548,No_0_549,No_0_550,No_0_551,No_0_552,No_0_553,No_0_554;[Fm]C[NH2+]CC(=O)N
No_0_555,No_0_556,No_0_557,No_0_558,No_0_559,No_0_560,No_0_561,No_0_562,No_0_563;[Fm]C[NH2+]CC([O-])=O
No_0_564,No_0_565,No_0_566,No_0_567,No_0_568,No_0_569,No_0_570,No_0_571,No_0_572;[Fm]C[NH2+]CCO
No_0_573,No_0_574,No_0_575,No_0_576,No_0_577,No_0_578,No_0_579;[Fm]C[NH2+]CCF
No_0_580,No_0_581,No_0_582,No_0_583,No_0_584,No_0_585;[Fm]C[NH2+]CCCF
No_0_593,No_0_594,No_0_595,No_0_596,No_0_597;[Fm]C[NH2+]CC
No_0_598,No_0_599,No_0_600,No_0_601,No_0_602,No_0_603;[Fm]C[NH2+]C
No_0_604,No_0_605,No_0_606,No_0_607,No_0_608,No_0_609,No_0_610,No_0_611,No_0_612;[Fm]CNC1C[NH2+]C1,[Fm]C[NH2+]C1CNC1
No_0_613,No_0_614,No_0_615,No_0_616,No_0_617,No_0_618,No_0_619;[Fm]CC[NH2+]C
No_0_620,No_0_621,No_0_622,No_0_623,No_0_624,No_0_625,No_0_626,No_0_627;[Fm]CCC[NH+]1CC1
No_0_628;S3_ZINC000256048888
No_0_629,No_0_630,No_0_631,No_0_632,No_0_633,No_0_634;S3_ZINC000219509138,S3_ZINC000219041855,S3_ZINC000244811463,S3_ZINC000219509138,S3_ZINC000243932540,S3_ZINC000223330110,S3_ZINC000244633674,S3_ZINC000244718850,S3_ZINC000223330110,S3_ZINC000222808675,S3_ZINC000219237890,S3_ZINC000222363498,S3_ZINC000252550811,S3_ZINC000252527914,S3_ZINC000222995406,S3_ZINC000244811500,S3_ZINC000252571514,S3_ZINC000222267930,S3_ZINC000222995406,S3_ZINC000244678421,S3_ZINC000219226876,S3_ZINC000243900928,S3_ZINC000244882623,S3_ZINC000252550399,S3_ZINC000252527672,S3_ZINC000244852863,S3_ZINC000244678972
